INDEX,INCOME,MARITAL STATUS,SEX,EDUCATION,JOB,TRAVEL TIME,USE,MILES CLOCKED,CAR TYPE,CAR AGE,CITY,POSTAL CODE
1,125301.2425,No,F,Bachelors,Blue Collar,45.70301258,Commercial,17430,Sports Car,7,Texas,42420
2,50815.44531,No,M,High School,,20.59162765,Private,18930,Minivan,1,Texas,42420
3,62977.82416,,F,Bachelors,Clerical,33.63994919,Private,,SUV,1,Texas,42420
4,77099.96624,No,F,,Lawyer,15.41567565,,18300,Sports Car,11,Texas,42420
5,130794.5742,No,M,High School,,,Commercial,28340,Panel Truck,10,Texas,42420
6,,,F,High School,Home Maker,48.36019147,,6000,SUV,5,Texas,42420
7,87460.05269,No,M,High School,Manager,45.0004876,,15420,Minivan,1,Texas,42420
8,,Yes,F,High School,Blue Collar,15.66594707,,11290,Sports Car,1,Texas,
9,,,F,,Clerical,26.39296083,,10030,SUV,1,Texas,42420
10,,Yes,M,High School,Blue Collar,27.49074868,,,Panel Truck,,Texas,42420
11,16988.72135,No,M,High School,Blue Collar,20.45001583,,,Pickup,6,Texas,42420
12,,No,F,High School,Blue Collar,61.60320818,Commercial,9360,Sports Car,,,42420
13,16352.02931,Yes,F,,Home Maker,,Private,10520,SUV,1,Texas,42420
14,63952.17766,Yes,F,Masters,Lawyer,49.57689468,Private,32340,Van,13,Texas,42420
15,24059.72157,No,M,Bachelors,Clerical,24.4301981,Private,14220,Minivan,10,Texas,42420
16,20821.8463,Yes,F,High School,Home Maker,45.90771277,Private,6880,SUV,1,Texas,42420
17,,No,F,High School,Blue Collar,42.50081473,Private,,SUV,4,Texas,
18,137102.7342,,F,,Manager,28.80035701,Private,19510,Sports Car,15,Texas,42420
19,102393.1799,No,M,Bachelors,Professional,24.86796984,,1500,Minivan,11,Texas,42420
20,40656.44899,Yes,F,High School,,57.09137453,Private,9170,Sports Car,7,,42420
21,,Yes,F,Bachelors,Blue Collar,,Commercial,5200,SUV,3,Texas,42420
22,31773.10396,Yes,M,High School,Clerical,14.45932328,Commercial,9640,Pickup,1,Texas,42420
23,38035.58347,Yes,F,High School,Blue Collar,32.18028505,Commercial,13140,SUV,1,Texas,42420
24,0,Yes,F,High School,Home Maker,24.52000126,Private,11740,SUV,1,Texas,42420
25,0,,M,High School,Student,13.66285957,Commercial,15090,Minivan,5,Philadelphia,84057
26,,Yes,F,Bachelors,Student,48.14333635,Commercial,12850,SUV,6,Los Angeles,90049
27,44705.21281,Yes,F,Bachelors,Professional,50.0889763,Private,12840,SUV,10,Los Angeles,90049
28,31738.35627,Yes,M,High School,Blue Collar,23.28684117,Commercial,,SUV,1,Los Angeles,90049
29,64013.81632,Yes,M,High School,Blue Collar,32.71723445,Commercial,7900,Pickup,5,Los Angeles,90049
30,53244.41283,No,M,Bachelors,Professional,27.55140242,,20920,Van,8,Los Angeles,90049
31,37579.71165,,F,High School,Clerical,35.81813031,Private,5260,SUV,1,Los Angeles,90049
32,23344.16706,Yes,M,,Blue Collar,9.92626961,Private,7930,Pickup,1,Los Angeles,90049
33,110386.4044,Yes,M,Masters,,21.15953978,Commercial,16640,Van,14,Los Angeles,90049
34,76158.64499,,F,Bachelors,Professional,52.42306084,Private,19750,SUV,,Los Angeles,90049
35,0,No,M,High School,,46.93284039,Commercial,5700,Pickup,1,Los Angeles,90049
36,49848.95817,No,F,Masters,Lawyer,35.02097056,Private,13130,SUV,20,Los Angeles,90049
37,12054.36967,Yes,F,High School,Student,28.06624321,Commercial,15760,Pickup,1,Los Angeles,90049
38,33283.09242,Yes,M,Bachelors,Blue Collar,37.1604757,Commercial,7690,Pickup,16,Los Angeles,90049
39,136343.7947,No,F,PhD,Doctor,45.25904589,Private,13160,Sports Car,17,Los Angeles,90049
40,32936.11043,No,F,High School,Clerical,12.40616516,Private,1500,SUV,7,Los Angeles,90049
41,0,No,M,High School,Home Maker,36.22025164,,16510,Minivan,1,Los Angeles,90049
42,22181.48424,No,F,,Clerical,23.82346578,Private,17880,Sports Car,1,Los Angeles,90049
43,84345.18012,Yes,F,Bachelors,Manager,35.8243038,Private,,SUV,5,Los Angeles,90049
44,43173.63322,,M,High School,Blue Collar,48.4305554,Commercial,10020,Pickup,1,Los Angeles,90049
45,30652.9423,No,F,High School,Clerical,41.19071361,Private,12930,Sports Car,7,New Albany,47150
46,,Yes,F,,,,Private,1500,SUV,10,New Albany,47150
47,111268.3117,,F,,Lawyer,,Private,24600,Van,10,New Albany,47150
48,49703.42492,No,M,,,,Commercial,,Panel Truck,20,New Albany,47150
49,25288.54263,Yes,F,,Home Maker,30.84344493,Private,13850,SUV,7,New Albany,47150
50,30955.01786,No,F,High School,Clerical,9.269535821,Private,7800,SUV,8,New Albany,47150
51,61369.9036,No,M,Masters,Manager,6.448685045,,21770,Van,12,New Albany,47150
52,44781.81586,No,F,High School,Clerical,82.61145278,,30260,SUV,9,New Albany,47150
53,30085.32061,Yes,M,High School,Clerical,43.69786089,Private,7200,Pickup,8,New Albany,47150
54,32317.31421,,M,,Clerical,68.37962907,,22450,Minivan,1,New Albany,47150
55,21281.93453,,M,High School,,39.71076852,,18150,Van,,New Albany,47150
56,61521.48327,Yes,F,Masters,Lawyer,40.50100216,Commercial,7650,Sports Car,9,New Albany,47150
57,105554.3537,No,M,Masters,Lawyer,75.2429745,,5300,Minivan,20,New Albany,47150
58,69290.2134,No,M,Masters,,30.35428387,,,Panel Truck,11,New Albany,47150
59,2954.141221,No,F,High School,Clerical,20.64757595,Private,3100,Sports Car,5,New Albany,47150
60,2656.766602,Yes,F,,Home Maker,63.34254361,,10480,Sports Car,11,New Albany,47150
61,,No,F,High School,Clerical,19.42590174,,11650,SUV,1,New Albany,47150
62,68090.40983,,F,Bachelors,Blue Collar,44.83097562,Commercial,11750,Minivan,12,New York City,12180
63,25031.76105,,F,High School,Clerical,34.08976118,Commercial,6100,Pickup,1,New York City,12180
64,,,M,Masters,,51.04542646,Commercial,23250,Panel Truck,18,New York City,12180
65,51544.43316,,F,High School,Blue Collar,44.03149922,Commercial,20630,SUV,1,New York City,12180
66,73842.01449,No,F,,Blue Collar,24.50890014,Commercial,22340,Sports Car,1,New York City,12180
67,0,No,M,High School,Student,32.52587199,Private,,Pickup,1,New York City,12180
68,109957.3023,Yes,F,Masters,,49.81881515,,29470,Sports Car,18,New York City,12180
69,33712.64957,Yes,F,Bachelors,Blue Collar,25.89368779,Commercial,23470,Sports Car,15,New York City,12180
29,64013.81632,Yes,M,High School,Blue Collar,32.71723445,Commercial,7900,Pickup,5,Los Angeles,90049
29,64013.81632,Yes,M,High School,Blue Collar,32.71723445,Commercial,7900,Pickup,5,Los Angeles,90049
29,64013.81632,Yes,M,High School,Blue Collar,32.71723445,Commercial,7900,Pickup,5,Los Angeles,90049
29,64013.81632,Yes,M,High School,Blue Collar,32.71723445,Commercial,7900,Pickup,5,Los Angeles,90049
29,64013.81632,Yes,M,High School,Blue Collar,32.71723445,Commercial,7900,Pickup,5,Los Angeles,90049
29,64013.81632,Yes,M,High School,Blue Collar,32.71723445,Commercial,7900,Pickup,5,Los Angeles,90049
29,64013.81632,Yes,M,High School,Blue Collar,32.71723445,Commercial,7900,Pickup,5,Los Angeles,90049
29,64013.81632,Yes,M,High School,Blue Collar,32.71723445,Commercial,7900,Pickup,5,Los Angeles,90049
